name,display_name,state,country,born,enlisted,latitude,longitude
Aargau,"Aargau, Switzerland",,Switzerland,1,22,47.387666,8.25543
Abberton,"Abberton, England",,England,1,22,51.834428,0.9097229999999998
Abbey Vale,"Abbey Vale, England",,England,1,22,54.496324,-3.594186
Abbeyfeale,"Abbeyfeale, Ireland",,Ireland,1,22,52.387237,-9.299474
Abbeyleix,"Abbeyleix, Ireland",,Ireland,1,22,52.913864,-7.348741
Abbots Bromley,"Abbots Bromley, England",,England,1,22,52.818713,-1.881993
Abbotsbury,"Abbotsbury, England",,England,1,22,50.66639000000001,-2.600639
Abbotsford,"Abbotsford, NSW, Australia",NSW,Australia,4,22,-33.852469,151.129453
Abbotsford,"Abbotsford, VIC, Australia",VIC,Australia,316,1,-37.805747,144.998046
Abbotsham,"Abbotsham, TAS, Australia",TAS,Australia,5,1,-41.211306,146.175577
Aberchirder,"Aberchirder, Scotland",,Scotland,3,1,57.56239600000001,-2.621567
Abercrombie,"Abercrombie, NSW, Australia",NSW,Australia,5,1,-33.389964,149.550466
Aberdare,"Aberdare, NSW, Australia",NSW,Australia,2,1,-32.8442,151.376514
Aberdare,"Aberdare, Wales",,Wales,9,1,51.713673,-3.445089
Aberdeen,"Aberdeen, NSW, Australia",NSW,Australia,68,13,-32.162396,150.890118
Aberdeen,"Aberdeen, SA, Australia",SA,Australia,5,1,-33.672,138.926
Aberdeen,"Aberdeen, Scotland",,Scotland,668,1,57.147493,-2.095392
Aberdeenshire,"Aberdeenshire, Scotland",,Scotland,49,1,57.162143,-2.719417
Aberdour,"Aberdour, Scotland",,Scotland,1,1,56.05324899999999,-3.300895
Aberdovey,"Aberdovey, Wales",,Wales,4,1,52.547035,-4.038742
Aberfeldie,"Aberfeldie, VIC, Australia",VIC,Australia,1,1,-37.75669,144.896259
Aberfeldy,"Aberfeldy, Scotland",,Scotland,8,1,56.619667,-3.864755999999999
Aberfeldy,"Aberfeldy, VIC, Australia",VIC,Australia,5,1,-37.696566,146.364064
Aberfoyle,"Aberfoyle, NSW, Australia",NSW,Australia,2,1,-30.240605,152.012929
Aberfoyle,"Aberfoyle, Scotland",,Scotland,1,1,56.177117,-4.377566
Abergavenny,"Abergavenny, England",,England,7,1,51.824849,-3.020908
Abergavenny,"Abergavenny, Wales",,Wales,9,1,51.824849,-3.020908
Abergele,"Abergele, Wales",,Wales,1,1,53.28619199999999,-3.582769
Aberglasslyn,"Aberglasslyn, NSW, Australia",NSW,Australia,1,1,-32.694656,151.534607
Aberkenfig,"Aberkenfig, Wales",,Wales,1,1,51.54008099999999,-3.59636
Aberlour,"Aberlour, Scotland",,Scotland,2,1,57.467973,-3.225725
Abermain,"Abermain, NSW, Australia",NSW,Australia,3,1,-32.810815,151.428668
Abernethy,"Abernethy, Scotland",,Scotland,2,1,56.33415400000001,-3.312963
Abertillery,"Abertillery, Wales",,Wales,3,1,51.73040199999999,-3.133865
Aberystwyth,"Aberystwyth, Wales",,Wales,10,1,52.41612,-4.083798
Abingdon,"Abingdon, England",,England,6,1,51.670071,-1.285013
Abington,"Abington, NSW, Australia",NSW,Australia,2,1,-30.294214,151.250268
Aboyne,"Aboyne, Scotland",,Scotland,1,1,57.075307,-2.782599
Acacia Creek,"Acacia Creek, NSW, Australia",NSW,Australia,3,1,-28.373331,152.320879
Accrington,"Accrington, England",,England,38,1,53.752807,-2.36421
Acheron,"Acheron, VIC, Australia",VIC,Australia,3,1,-37.252433,145.702015
Aclare,"Aclare, Ireland",,Ireland,1,1,54.036469,-8.899215999999999
Acle,"Acle, England",,England,1,1,52.63678500000001,1.54781
Acton,"Acton, England",,England,11,1,52.07111199999999,0.759646
Acton,"Acton, NSW, Australia",NSW,Australia,1,1,-30.633,151.883
Adaminaby,"Adaminaby, NSW, Australia",NSW,Australia,74,7,-35.997349,148.769744
Adamstown,"Adamstown, NSW, Australia",NSW,Australia,91,11,-32.932538,151.72625
Adare,"Adare, Ireland",,Ireland,2,11,52.56427,-8.790350999999999
Adavale,"Adavale, QLD, Australia",QLD,Australia,33,11,-25.909385,144.598632
Adderley,"Adderley, England",,England,1,11,52.954129,-2.504595
Addingham,"Addingham, England",,England,2,11,53.94399499999999,-1.88266
Addington,"Addington, England",,England,2,11,51.298106,0.3520550000000001
Addington,"Addington, New Zealand",,New Zealand,1,11,-43.542432,172.620517
Addington,"Addington, VIC, Australia",VIC,Australia,2,11,-37.384464,143.672506
Addlestone,"Addlestone, England",,England,7,11,51.37085800000001,-0.492792
Adelaide Lead,"Adelaide Lead, VIC, Australia",VIC,Australia,5,11,-37.074671,143.677358
Adelaide,"Adelaide, SA, Australia",SA,Australia,7080,20781,-34.92577,138.599732
Adelong Crossing,"Adelong Crossing, NSW, Australia",NSW,Australia,1,20781,-35.132,151.883
Adelong,"Adelong, NSW, Australia",NSW,Australia,272,8,-35.307947,148.063682
Adisham,"Adisham, England",,England,1,8,51.244314,1.191436
Adlington,"Adlington, England",,England,1,8,53.612593,-2.604423
Adventure Bay,"Adventure Bay, TAS, Australia",TAS,Australia,6,8,-43.355794,147.326117
Advie,"Advie, Scotland",,Scotland,1,8,57.393468,-3.452769
Africa,Africa,,Africa,1,8,0.213671,16.98485
Agery,"Agery, SA, Australia",SA,Australia,1,8,-34.156899,137.742805
Aghadowey,"Aghadowey, Ireland",,Ireland,1,8,54.586313,-8.066153999999999
Agher,"Agher, Ireland",,Ireland,1,8,53.44334,-6.738740000000001
Aghyaran,"Aghyaran, Ireland",,Ireland,1,8,54.67492899999999,-7.707268
Agnes River,"Agnes River, VIC, Australia",VIC,Australia,1,8,-38.65,146.369
Agra,"Agra, India",,India,3,8,27.177719,78.0093
