id,taxon_name,common_name
species/15849,Nephila edulis,Australian Golden Orb-weaver Spider
species/16848,Enypniastes eximia,Swimming sea cucumber
species/8608,Cryptocheilus bicolor,Spider Hunting Wasp
species/15155,Argiope trifasciata,Banded Garden Spider
species/12426,Stanwellia grisea,Melbourne Trapdoor Spider
species/12357,Celaenia excavata,Bird-dropping Spider
species/12430,Argiope keyserlingi,St. Andrew's Cross Spider
species/12422,Phonognatha graeffei,Leaf-curling Spider
species/15889,Eurythenes,Deep-sea Amphipod
species/8815,Salticidae,Jumping Spider
species/8447,Pseudocheirus peregrinus,Common Ringtail Possum
species/3233,Lerista bougainvillii,Bougainville's Skink
species/3266,Hemiergis talbingoensis talbingoensis,Three-toed Earless Skink
species/13712,Pseudemoia entrecasteauxii,Tussock Cool-skink
species/8551,Cimex,Bed Bug
species/8451,Dasyurus maculatus,Spotted-tailed Quoll
species/10546,Mastacomys fuscus,Broad-toothed Rat
species/8731,Polinices (Conuber) conicus,Moon Snail
species/8414,Canis lupus dingo,Dingo
species/8512,Galeolaria,Intertidal Tube Worm
species/8375,Pogona vitticeps,Central Bearded Dragon
species/8638,Ostrea angasi,Mud Oyster
species/14381,Megascolides australis,Giant Gippsland Earthworm
species/8771,Cantareus aspersa,Common Garden Snail
species/8476,Dytiscidae,Diving Beetles
species/15128,Rhipicera (Agathorhipis) femorata,Feather-horned Beetle
species/8331,Phyllopteryx taeniolatus,Common Seadragon
species/8305,Aracana ornata,Ornate Cowfish
species/8522,Myrmecia,Bull Ant
species/12396,Calamanthus fuliginosus,Striated Fieldwren
species/8455,Rattus rattus,Black Rat
species/8431,Mus musculus,House Mouse
species/8186,Columba livia,Rock Dove
species/8234,Passer domesticus,House Sparrow
species/8791,Notechis scutatus,Tiger Snake
species/8612,Vespula germanica,European Wasp
species/8683,Physalia utriculus,Blue-bottle
species/8680,Aurelia,Moon Jellyfish
species/8685,Velella velella,By-the-wind Sailor
species/8681,Catostylus mosaicus,Blue Blubber
species/8684,Pseudorhiza haeckeli,Haekel's Jellyfish
species/8682,Cyanea annaskala,Lion's Mane Jellyfish
species/14248,Carybdea rastoni,Box Jellyfish
species/8657,Halicarcinus ovatus,Three-pronged Sea Spider
species/16660,Tympanocryptis pinguicolla,Grassland Earless Dragon
species/11522,Thylacinus cynocephalus,Thylacine
species/3369,Chrysococcyx lucidus,Shining Bronze-cuckoo
species/12395,Petroica boodang,Scarlet Robin
species/7378,Taeniopygia guttata,Zebra Finch
species/4886,Acanthiza chrysorrhoa,Yellow-rumped Thornbill
species/5761,Accipiter novaehollandiae,Grey Goshawk
species/7334,Anthus novaeseelandiae,Australasian Pipit
species/8402,Perameles gunnii,Eastern Barred Bandicoot
species/16646,Chaeropus yirratji,Pig-footed Bandicoot
species/16648,Chaeropus ecaudatus,Landwang
species/16485,Cacatua leadbeateri,Major Mitchell's Cockatoo
species/16645,Lepas anatifera,Goose Barnacle
species/16644,Ircinia,Sponge
species/16450,Agrius convolvuli,Convolvulus Hawk Moth
species/7669,Euryspongia,Sponge
species/13715,Choerocoris paganus,Red Jewel-bug
species/13711,Litoria peronii,Peron's Tree Frog
species/13716,Acripeza reticulata,Mountain Katydid
species/13713,Niveoscincus metallicus,Metallic Cool-skink
species/13720,Breda jovialis,Jupiter Jumping Spider
species/13722,Austrolestes annulosus,Blue Ringtail
species/13721,Tamopsis,
species/13718,Milax gagates,Black-keeled Slug
species/13717,Monistria concinna,Spotted Mountain-grasshopper
species/13723,Austroargiolestes icteromelas,Common Flatwing
species/13719,Missulena occatoria,Red Headed Mouse Spider
species/8652,Carcinus maenas,European Shore Crab
species/14250,Neosebastes scorpaenoides,Common Gurnard Perch
species/14369,Philocheras victoriensis,Victorian Sand Shrimp
species/14353,Heteropilumnus fimbriatus,Bearded Crab
species/14483,Raeta (Raetella) pulchella,Bivalve Mollusc
species/8695,Octopus pallidus,Pale Octopus
species/15241,Neoodax balteatus,Little Weed Whiting
species/8742,Asterias amurensis,Northern Pacific Seastar
species/8201,Calidris ferruginea,Curlew Sandpiper
species/14379,Psephotus haematonotus,Red-rumped Parrot
species/8238,Turdus merula,Common Blackbird
species/8794,Pseudechis porphyriacus,Red-bellied Black Snake
species/8177,Gymnorhina tibicen,Australian Magpie
species/8161,Malurus cyaneus,Superb Fairy-wren
species/8756,Scutigeridae,House Centipede
species/16506,Psephotus varius,Mulga Parrot
species/15583,Nyctophilus gouldi,Gould's Long-eared Bat
species/16449,Thalassarche bulleri,Buller's Albatross
species/15815,Melanodryas cucullata,Hooded Robin
species/16474,Geopelia striata placida,Peaceful Dove
species/16475,Malurus splendens,Splendid Fairy-wren
species/15582,Platycercus elegans flaveolus,Crimson Rosella
species/15954,Lasiorhinus latifrons,Southern Hairy-nosed Wombat
species/11509,Petrogale penicillata,Brush-tailed Rock Wallaby
species/12596,Manorina flavigula,Yellow-throated Miner
species/12570,Smicrornis brevirostris,Weebill
species/12568,Malurus lamberti,Variegated Fairy-wren
species/7308,Cacatua sanguinea,Little Corella
species/7359,Zoothera lunulata,Bassian Thrush
species/7351,Lichenostomus virescens,Singing Honeyeater
species/7333,Alauda arvensis,Eurasian Skylark
species/6370,Struthidea cinerea,Apostlebird
species/12562,Polytelis anthopeplus,Regent Parrot
species/7340,Carduelis chloris,European Greenfinch
species/5752,Tringa nebularia,Common Greenshank
species/5787,Porzana fluminea,Australian Spotted Crake
species/5780,Pachyptila turtur,Fairy Prion
species/5776,Macronectes giganteus,Southern Giant-Petrel
species/15229,Saproscincus mustelinus,Weasel Skink
species/3245,Menetia greyii,Common Dwarf Skink
species/14954,Cetorhinus maximus,Basking Shark
species/3243,Ardeotis australis,Australian Bustard
species/14943,Dendrogramma enigmatica,
species/15540,Trichomya hirsuta,Hairy Mussel
species/15783,Barbatia (Barbatia) pistachia,Banded Ark
species/7845,Aegotheles cristatus,Australian Owlet-nightjar
species/15466,Daption capense,Cape Petrel
species/8152,Cacatua roseicapilla,Galah
species/8141,Circus approximans,Swamp Harrier
species/8595,Orthodera ministralis,Green Mantid
species/8541,Helea scaphiformis,Pie-dish Beetle
species/8381,Strophurus intermedius,Eastern Spiny-tailed Gecko
species/8236,Rhipidura leucophrys,Willie Wagtail
species/12610,Pomatostomus superciliosus,White-browed Babbler
species/8569,Platyzosteria,Native Cockroach
species/8136,Merops ornatus,Rainbow Bee-eater
species/8811,Lycosidae,Wolf Spiders
species/8380,Lucasium damaeum,Beaded Gecko
species/8348,Limnodynastes dumerilii,Eastern Banjo Frog
species/7229,Corcorax melanorhamphos,White-winged Chough
species/8377,Christinus marmoratus,Marbled Gecko
species/8464,Cherax destructor,Yabby
species/15197,Dendrilla rosea,
species/8423,Wallabia bicolor,Swamp Wallaby
species/8400,Tiliqua rugosa,Stumpy-tail Lizard
species/8195,Thalassarche cauta,Shy Albatross
species/8416,Tachyglossus aculeatus,Short-beaked Echidna
species/8235,Rhipidura albiscapa,Grey Fantail
species/7350,Lichenostomus penicillatus,White-plumed Honeyeater
species/8172,Phylidonyris novaehollandiae,New Holland Honeyeater
species/7318,Phaps chalcoptera,Common Bronzewing
species/8232,Pardalotus punctatus,Spotted Pardalote
species/8231,Pachycephala rufiventris,Rufous Whistler
species/8230,Pachycephala pectoralis,Golden Whistler
species/8418,Macropus fuliginosus,Western Grey Kangaroo
species/8229,Grallina cyanoleuca,Magpie-lark
species/7329,Coracina novaehollandiae,Black-faced Cuckoo-shrike
species/7336,Artamus cyanopterus,Dusky Woodswallow
species/8139,Accipiter fasciatus,Brown Goshawk
species/8784,Morelia spilota,Carpet Python
species/13747,Nectria macrobrachia,Seastar
species/13748,Pseudonepanthia troughtoni,Seastar
species/8692,Hapalochlaena maculosa,Southern Blue-ringed Octopus
species/8442,Gymnobelideus leadbeateri,Leadbeater's Possum
species/8741,Heliocidaris erythrogramma,Sea Urchin
species/8321,Meuschenia freycineti,Sixspine Leatherjacket
species/8320,Brachaluteres jacksonianus,Southern Pygmy Leatherjacket
species/14370,Leptomithrax gaimardii,Giant Spider Crab
species/8461,Sepioteuthis australis,Southern Calamari Squid
species/14324,Pempheris multiradiata,Bigscale Bullseye
species/8743,Coscinasterias muricata,Eleven-armed Seastar
species/8745,Nectria ocellata,Ocellate Seastar
species/8618,Phlyctenactis tuberculosa,Swimming Anemone
species/8669,Ovalipes australiensis,Sand Crab
species/8193,Morus serrator,Australasian Gannet
species/8701,Euprymna tasmanica,Southern Bobtail Squid
species/8262,Phalacrocorax fuscescens,Black-faced Cormorant
species/8316,Pictilabrus laticlavius,Senator Wrasse
species/8327,Trachinops caudimaculatus,Southern Hulafish
species/8697,Octopus kaurna,Southern Sand Octopus
species/8281,Melicertus plebejus,Eastern King Prawn
species/14327,Meuschenia flavolineata,Yellowstriped Leatherjacket
species/8719,Tambja verconis,Verco's Nudibranch
species/8307,Tetractenos glaber,Smooth Toadfish
species/8306,Diodon nicthemerus,Globefish
species/14365,Arctocephalus forsteri,Australasian Fur Seal
